scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Hotdog,49,0.087231,30.18569,0.944744,0.04295364,"[3.9244583604158834e-05, 5.668662197422236e-05, 0.00013953630696050823, 0.00015261783846653998, 0.0005058191018179059, 0.001691877725534141, 0.08572325855493546, 0.11513052880764008, 0.15983010828495026, 0.1617705374956131, 0.14176452159881592, 0.12287043780088425, 0.096345454454422, 0.0667157918214798, 0.025753168389201164, 0.0016264700097963214, 0.0010508827399462461, 0.0008546598837710917, 0.0008502993732690811, 0.0007630891632288694, 0.016364991664886475]"
Hotdog,53,0.089623,30.14297,0.94096,0.050206579,"[8.757455361774191e-05, 0.00018436748359818012, 0.0003134247090201825, 0.0005024013807997108, 0.0017607094487175345, 0.023110464215278625, 0.07594557106494904, 0.10694235563278198, 0.1360217183828354, 0.15172061324119568, 0.14506033062934875, 0.161459818482399, 0.14191226661205292, 0.02890421263873577, 0.0017791461432352662, 0.0009172282298095524, 0.0007098147762008011, 0.0005531024653464556, 0.0004424819489941001, 0.0003779533435590565, 0.021294444799423218]"
Hotdog,54,0.091553,29.82855,0.94015,0.054078873,"[0.001367072924040258, 0.0018365726573392749, 0.002326785586774349, 0.003597196890041232, 0.004625953733921051, 0.011682258918881416, 0.03532295301556587, 0.13840577006340027, 0.1410708725452423, 0.1622881144285202, 0.15927089750766754, 0.1252114474773407, 0.08850761502981186, 0.05344702675938606, 0.016977939754724503, 0.005709945689886808, 0.003065557451918721, 0.002022991655394435, 0.0016225359868258238, 0.0012980287428945303, 0.040342457592487335]"
Hotdog,70,0.092275,29.59786,0.939487,0.04499761,"[0.00010635639046085998, 0.0002605731424409896, 0.0006009135977365077, 0.0011114242952317, 0.0019303684821352363, 0.005025339312851429, 0.0775497630238533, 0.13648183643817902, 0.14139018952846527, 0.16669237613677979, 0.1435970813035965, 0.12215562909841537, 0.09917201846837997, 0.05655501037836075, 0.014655910432338715, 0.0035895281471312046, 0.0019250506302341819, 0.0014624003088101745, 0.0011326955864205956, 0.0008348976843990386, 0.02377065271139145]"
Hotdog,79,0.091027,29.84066,0.939067,0.062516421,"[0.0016039462061598897, 0.0021439683623611927, 0.002901611151173711, 0.0036270141135901213, 0.005222900304943323, 0.016434403136372566, 0.0401550754904747, 0.11599190533161163, 0.15976594388484955, 0.15723508596420288, 0.15968534350395203, 0.1189579963684082, 0.07742466032505035, 0.04391910880804062, 0.016361862421035767, 0.006641465704888105, 0.0034255131613463163, 0.002563089830800891, 0.0019102273508906364, 0.0015394659712910652, 0.06248942017555237]"
Hotdog,89,0.086149,30.55908,0.94631,0.053640783,"[6.331517943181098e-05, 0.00018020474817603827, 0.00027761273668147624, 0.000526003073900938, 0.0013978044735267758, 0.028248311951756477, 0.06848754733800888, 0.10546848177909851, 0.14097368717193604, 0.15430396795272827, 0.15708009898662567, 0.13002502918243408, 0.09726186096668243, 0.0787786990404129, 0.0076173036359250546, 0.0007354302215389907, 0.0006964670028537512, 0.0004870398552156985, 0.00042859508539550006, 0.00027761273668147624, 0.026684913784265518]"
Hotdog,91,0.088149,30.29229,0.944917,0.054263879,"[5.98593833274208e-05, 4.353409894974902e-05, 0.00016869463433977216, 0.0002829716249834746, 0.0021603796631097794, 0.04426329582929611, 0.07178228348493576, 0.12178120017051697, 0.15286998450756073, 0.14661739766597748, 0.14480529725551605, 0.1237783208489418, 0.09010469913482666, 0.060561373829841614, 0.011460351757705212, 0.000963191909249872, 0.0006856620311737061, 0.0005768268019892275, 0.0005713850259780884, 0.00039724865928292274, 0.026066040620207787]"
Hotdog,93,0.087573,30.07393,0.944108,0.04595631,"[2.354980279051233e-05, 3.767968519241549e-05, 4.2389645386720076e-05, 0.00012245897960383445, 0.00025904783979058266, 0.0016296464018523693, 0.08740744739770889, 0.11204995959997177, 0.16182482242584229, 0.15966296195983887, 0.14271651208400726, 0.12372595816850662, 0.1003221645951271, 0.0630616620182991, 0.023893630132079124, 0.000998511677607894, 0.0007959833601489663, 0.0006876542465761304, 0.0008054032805375755, 0.0007865634397603571, 0.019145989790558815]"
Hotdog,97,0.089845,30.37834,0.942685,0.07098183,"[0.0006127332453615963, 0.0008384770480915904, 0.0014254109701141715, 0.0019671961199492216, 0.004114987328648567, 0.01963326334953308, 0.05806131288409233, 0.11552923917770386, 0.1536089926958084, 0.16004592180252075, 0.14930051565170288, 0.12479763478040695, 0.09355469048023224, 0.03325529024004936, 0.006320827174931765, 0.0029927182476967573, 0.0020445941481739283, 0.0013286636676639318, 0.0011222693137824535, 0.0007094806060194969, 0.068735770881176]"
Hotdog,98,0.09381,29.39159,0.937446,0.040003929,"[1.903666816360783e-05, 8.756867464398965e-05, 0.001073668128810823, 0.03612017631530762, 0.0564437210559845, 0.10364323854446411, 0.12042596191167831, 0.13188603520393372, 0.1362035572528839, 0.12486912310123444, 0.11562111228704453, 0.10566112399101257, 0.043015256524086, 0.0014848600840196013, 0.0011003194376826286, 0.0009366041049361229, 0.0008299987530335784, 0.0008718793978914618, 0.0006738980882801116, 0.0008109620539471507, 0.0182218998670578]"
Chair,3,0.087799296,27.42555809,0.933627129,0.06520202,"[0.00038490406586788595, 0.0007569779991172254, 0.005966012831777334, 0.008108645677566528, 0.015774652361869812, 0.029996857047080994, 0.07662798464298248, 0.08480719476938248, 0.11341840028762817, 0.1405348926782608, 0.1700313687324524, 0.15534086525440216, 0.09312754124403, 0.022157642990350723, 0.004355831071734428, 0.0023799901828169823, 0.0024698011111468077, 0.0012894285609945655, 0.001064901240170002, 0.0009686752455309033, 0.07043744623661041]"
Chair,5,0.091619797,26.78878784,0.928632081,0.089452557,"[5.036388029111549e-05, 0.0001385006617056206, 0.0004532749007921666, 0.003978746477514505, 0.008895520120859146, 0.006352144293487072, 0.13449044525623322, 0.13999898731708527, 0.12176726758480072, 0.13963384926319122, 0.16987106204032898, 0.09745410829782486, 0.01632419228553772, 0.008083402179181576, 0.00557150412350893, 0.00438165757805109, 0.0035002895165234804, 0.0030470145866274834, 0.0026944675482809544, 0.0023419202771037817, 0.1309712678194046]"
Chair,10,0.08888565,27.13636971,0.930932224,0.060741041,"[0.00015115062706172466, 0.00016374651750084013, 0.00042196217691525817, 0.00110214005690068, 0.015455151908099651, 0.02226322889328003, 0.06103966385126114, 0.12680909037590027, 0.10642264038324356, 0.14391429722309113, 0.1650627851486206, 0.16789686679840088, 0.10709652304649353, 0.01272184494882822, 0.0023995162919163704, 0.0016752529190853238, 0.0049186935648322105, 0.0011147359618917108, 0.0007494552410207689, 0.0007746469927951694, 0.05784660577774048]"
Chair,15,0.091155775,26.8448143,0.928972423,0.025597116,"[0.001950715552084148, 0.024025414139032364, 0.10747440159320831, 0.1582469791173935, 0.1366734504699707, 0.12107543647289276, 0.122301384806633, 0.06266962736845016, 0.03774210438132286, 0.02798081748187542, 0.02349339984357357, 0.0192758459597826, 0.015428386628627777, 0.01322322990745306, 0.0103935357183218, 0.009113619104027748, 0.007617814000695944, 0.006160560064017773, 0.00515821622684598, 0.004610782023519278, 0.08538428694009781]"
Chair,22,0.091582336,26.86008072,0.929215908,0.023558598,"[0.051273852586746216, 0.13122190535068512, 0.10546508431434631, 0.08682852238416672, 0.09394878149032593, 0.10094248503446579, 0.11195257306098938, 0.12059146910905838, 0.05570320039987564, 0.029686614871025085, 0.02005528286099434, 0.014207213185727596, 0.009511440061032772, 0.007093615829944611, 0.004729077219963074, 0.0037766010500490665, 0.002757518319413066, 0.002257967833429575, 0.0014187231427058578, 0.0012855096720159054, 0.04529257118701935]"
Chair,23,0.086313933,27.49477005,0.934823453,0.079181515,"[0.0006733216578140855, 0.0010871982667595148, 0.005330977961421013, 0.00866669975221157, 0.01336759701371193, 0.028267154470086098, 0.06954362243413925, 0.08806923776865005, 0.11907291412353516, 0.1432260125875473, 0.16157248616218567, 0.15722987055778503, 0.08444935828447342, 0.00880877673625946, 0.004274665843695402, 0.002458550501614809, 0.00190259690862149, 0.0014393022283911705, 0.0011860344093292952, 0.0010686664609238505, 0.09830495715141296]"
Chair,31,0.08707542,27.29955101,0.932275295,0.083129205,"[0.00010593946353765205, 0.00016202506958507001, 0.00038636746467091143, 0.0007602714467793703, 0.0016389458905905485, 0.012245356105268002, 0.07928634434938431, 0.12031607329845428, 0.12140662968158722, 0.1014152243733406, 0.14490026235580444, 0.22395603358745575, 0.06397497653961182, 0.025082726031541824, 0.004835824947804213, 0.002660950180143118, 0.0019443007186055183, 0.001807202585041523, 0.0015953236725181341, 0.0012214196613058448, 0.09029781818389893]"
Chair,38,0.088466033,27.1480484,0.932854116,0.058376014,"[2.084476909658406e-05, 0.0003543610800988972, 0.00323788751848042, 0.010894865728914738, 0.07328326255083084, 0.17913994193077087, 0.10468243062496185, 0.11626517027616501, 0.13367749750614166, 0.1460801362991333, 0.079349085688591, 0.019733047112822533, 0.011172796599566936, 0.007260927930474281, 0.004961055237799883, 0.003717317245900631, 0.003140611806884408, 0.0026055960915982723, 0.0021887007169425488, 0.0021887007169425488, 0.09604574739933014]"
Chair,41,0.090690762,26.96199226,0.930586994,0.050969049,"[2.269426295242738e-05, 5.673565829056315e-05, 0.0006921750027686357, 0.003336056601256132, 0.09432870149612427, 0.1631830930709839, 0.11793641000986099, 0.10359930992126465, 0.12447235733270645, 0.151376411318779, 0.09117420017719269, 0.027635939419269562, 0.011296069249510765, 0.007392656058073044, 0.005599809344857931, 0.004782815929502249, 0.003801289014518261, 0.0034778958652168512, 0.0027913942467421293, 0.002910539275035262, 0.08013344556093216]"
Chair,47,0.088924102,27.09494781,0.931350172,0.043177728,"[4.28511957579758e-05, 0.00027547197532840073, 0.0017813853919506073, 0.03684590756893158, 0.18560689687728882, 0.11505546420812607, 0.10041259229183197, 0.11438208818435669, 0.13050025701522827, 0.16118784248828888, 0.04894218593835831, 0.01710987091064453, 0.009090575389564037, 0.005589020438492298, 0.003979039844125509, 0.0029628542251884937, 0.002350694267079234, 0.0021364381536841393, 0.0020201278384774923, 0.0015793726779520512, 0.0581490732729435]"
Chair,49,0.088682324,27.02106094,0.930053174,0.074189022,"[0.0001248314802069217, 0.0005326143000274897, 0.0015062998281791806, 0.0026214609388262033, 0.005850435234606266, 0.023035569116473198, 0.04386578127741814, 0.1112331673502922, 0.2426474243402481, 0.17398178577423096, 0.1125979945063591, 0.04057855159044266, 0.018433447927236557, 0.012599657289683819, 0.00922088511288166, 0.007556465454399586, 0.006075131706893444, 0.005176345352083445, 0.004535543732345104, 0.004119438584893942, 0.17370715737342834]"
Chair,53,0.088885419,27.1836071,0.930671036,0.055880111,"[0.00019128470739815384, 0.0009746411233209074, 0.005055381450802088, 0.017170079052448273, 0.06036398932337761, 0.2254335731267929, 0.141641765832901, 0.1577005684375763, 0.10931465774774551, 0.03712745010852814, 0.024429788812994957, 0.017470669001340866, 0.01303468644618988, 0.010648181661963463, 0.009145230986177921, 0.007532973773777485, 0.0060755666345357895, 0.005164687056094408, 0.0046363770961761475, 0.004873205441981554, 0.1420152336359024]"
Chair,54,0.089829102,27.11569214,0.930090487,0.059833232,"[0.0005262373015284538, 0.006358700804412365, 0.04775603488087654, 0.14653077721595764, 0.11614934355020523, 0.15252111852169037, 0.1760263890028, 0.07045440375804901, 0.037134815007448196, 0.025303244590759277, 0.018304288387298584, 0.014094389043748379, 0.011296560987830162, 0.009647684171795845, 0.007656753063201904, 0.006604278460144997, 0.005464097484946251, 0.005341308657079935, 0.004323916509747505, 0.004087109584361315, 0.1344185471534729]"
Chair,70,0.087646253,27.08973122,0.931308866,0.124673657,"[0.00020405802933964878, 0.00023806770332157612, 0.00040811605867929757, 0.0013603868428617716, 0.006060523446649313, 0.004312426317483187, 0.06311514973640442, 0.13150860369205475, 0.11878897994756699, 0.1547304093837738, 0.17966629564762115, 0.11148370802402496, 0.024827061221003532, 0.009284640662372112, 0.0043804459273815155, 0.0035234021488577127, 0.0029588413890451193, 0.0026799621991813183, 0.002142609329894185, 0.0017753049032762647, 0.17655101418495178]"
Chair,79,0.091528088,26.96248055,0.928468227,0.057318427,"[0.0012777652591466904, 0.03227362036705017, 0.10885917395353317, 0.12023048102855682, 0.13328136503696442, 0.1752868890762329, 0.1190330758690834, 0.044448550790548325, 0.028649264946579933, 0.019166478887200356, 0.01479475386440754, 0.01088913157582283, 0.008188948966562748, 0.00625221012160182, 0.0051833875477313995, 0.004701212048530579, 0.003833295777440071, 0.010527499951422215, 0.03011990152299404, 0.006388826295733452, 0.11661416292190552]"
