scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Hotdog,98,0.09381,29.39159,0.937446,0.040003929,"[0.00010660534462658688, 0.037193842232227325, 0.1600869596004486, 0.2523120045661926, 0.26107266545295715, 0.2212822288274765, 0.044500116258859634, 0.0020369235426187515, 0.0017018781509250402, 0.0014848600840196013, 0.0182218998670578]"
Chair,3,0.087799296,27.42555809,0.933627129,0.06520202,"[0.001141882035881281, 0.01407465897500515, 0.045771509408950806, 0.16143517196178436, 0.2539532780647278, 0.32537224888801575, 0.11528518050909042, 0.006735821254551411, 0.003759229788556695, 0.0020335763692855835, 0.07043744623661041]"
Chair,5,0.091619797,26.78878784,0.928632081,0.089452557,"[0.0001888645492726937, 0.004432021174579859, 0.015247664414346218, 0.2744894325733185, 0.26140111684799194, 0.26732516288757324, 0.02440759539604187, 0.00995316170156002, 0.0065473043359816074, 0.00503638805821538, 0.1309712678194046]"
Chair,10,0.08888565,27.13636971,0.930932224,0.060741041,"[0.00031489715911448, 0.0015241021756082773, 0.037712082266807556, 0.1878550499677658, 0.2503369450569153, 0.3329596519470215, 0.11981836706399918, 0.004074769094586372, 0.0060334294103085995, 0.0015241021756082773, 0.05784660577774048]"
Chair,15,0.091155775,26.8448143,0.928972423,0.025597116,"[0.02597612887620926, 0.2657213807106018, 0.25774890184402466, 0.18497100472450256, 0.06572292000055313, 0.04276924580335617, 0.028651615604758263, 0.01950715482234955, 0.01377837359905243, 0.009768998250365257, 0.08538428694009781]"
Chair,22,0.091582336,26.86008072,0.929215908,0.023558598,"[0.18249575793743134, 0.19229359924793243, 0.19489125907421112, 0.23254404962062836, 0.08538981527090073, 0.03426249697804451, 0.016605054959654808, 0.008505677804350853, 0.005015485920011997, 0.002704232931137085, 0.04529257118701935]"
Chair,23,0.086313933,27.49477005,0.934823453,0.079181515,"[0.0017605199245736003, 0.013997677713632584, 0.04163474962115288, 0.1576128602027893, 0.26229894161224365, 0.3188023567199707, 0.09325813502073288, 0.006733216345310211, 0.0033418992534279823, 0.0022547009866684675, 0.09830495715141296]"
Chair,31,0.08707542,27.29955101,0.932275295,0.083129205,"[0.00026796452584676445, 0.0011466388823464513, 0.013884301297366619, 0.199602410197258, 0.22282184660434723, 0.368856281042099, 0.08905769884586334, 0.0074967751279473305, 0.0037515033036470413, 0.0028167434502393007, 0.09029781818389893]"
Chair,38,0.088466033,27.1480484,0.932854116,0.058376014,"[0.0003752058546524495, 0.014132753014564514, 0.2524231970310211, 0.22094760835170746, 0.27975764870643616, 0.09908213466405869, 0.018433723598718643, 0.008678372018039227, 0.005746208131313324, 0.0043774014338850975, 0.09604574739933014]"
Chair,41,0.090690762,26.96199226,0.930586994,0.050969049,"[7.942991942400113e-05, 0.0040282318368554115, 0.25751179456710815, 0.22153572738170624, 0.27584877610206604, 0.11881013959646225, 0.01868872530758381, 0.01038262527436018, 0.0072791846469044685, 0.0057019335217773914, 0.08013344556093216]"
Chair,47,0.088924102,27.09494781,0.931350172,0.043177728,"[0.00031832317472435534, 0.03862729296088219, 0.3006623685359955, 0.21479468047618866, 0.29168808460235596, 0.06605205684900284, 0.014679595828056335, 0.006941893603652716, 0.00448713218793273, 0.0035995005164295435, 0.0581490732729435]"
Chair,49,0.088682324,27.02106094,0.930053174,0.074189022,"[0.0006574458093382418, 0.004127760883420706, 0.02888600341975689, 0.15509894490242004, 0.41662922501564026, 0.15317654609680176, 0.03103310614824295, 0.01677735149860382, 0.011251477524638176, 0.008654982782900333, 0.17370715737342834]"
Chair,53,0.088885419,27.1836071,0.930671036,0.055880111,"[0.0011659258743748069, 0.022225460037589073, 0.2857975661754608, 0.2993423342704773, 0.14644210040569305, 0.04190045967698097, 0.023682868108153343, 0.016678204759955406, 0.01124025322496891, 0.009509582072496414, 0.1420152336359024]"
Chair,54,0.089829102,27.11569214,0.930090487,0.059833232,"[0.006884938105940819, 0.19428682327270508, 0.2686704695224762, 0.246480792760849, 0.062438055872917175, 0.03239867836236954, 0.020944245159626007, 0.014261031523346901, 0.010805406607687473, 0.008411026559770107, 0.1344185471534729]"
Chair,70,0.087646253,27.08973122,0.931308866,0.124673657,"[0.00044212574721314013, 0.0017685029888525605, 0.0103729497641325, 0.19462375342845917, 0.2735193967819214, 0.2911500036716461, 0.03411170095205307, 0.007903847843408585, 0.005638803821057081, 0.0039179143495857716, 0.17655101418495178]"
Chair,79,0.091528088,26.96248055,0.928468227,0.057318427,"[0.03355138376355171, 0.2290896475315094, 0.3085682690143585, 0.16348162293434143, 0.04781574383378029, 0.02568388544023037, 0.01444115862250328, 0.009884599596261978, 0.014360795728862286, 0.03650872781872749, 0.11661416292190552]"
Chair,89,0.089014888,27.28450775,0.931309819,0.060281001,"[0.0008433606708422303, 0.013175020925700665, 0.04491061717271805, 0.16134752333164215, 0.24789491295814514, 0.3376231789588928, 0.11807049810886383, 0.0055781337432563305, 0.006401572376489639, 0.002032034331932664, 0.062123142182826996]"
Chair,91,0.084696651,27.66893768,0.934659302,0.10647434,"[0.0018431742209941149, 0.0058272662572562695, 0.036246731877326965, 0.15764102339744568, 0.37041422724723816, 0.19906990230083466, 0.031936537474393845, 0.012760437093675137, 0.006422753445804119, 0.004239300731569529, 0.17359866201877594]"
Chair,93,0.086776271,27.48728943,0.933282614,0.112129956,"[0.0004917350597679615, 0.003752316813915968, 0.0216060820966959, 0.2919771671295166, 0.3005560338497162, 0.14777016639709473, 0.01559934951364994, 0.007920716889202595, 0.006173166446387768, 0.005212391726672649, 0.19894087314605713]"
Chair,97,0.091114573,26.86670685,0.929315269,0.025028007,"[0.11106570810079575, 0.21099230647087097, 0.21939204633235931, 0.2040000855922699, 0.0763392299413681, 0.04339864104986191, 0.02805209346115589, 0.017790794372558594, 0.012054757215082645, 0.00840730406343937, 0.06850703805685043]"
