scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Chair,15,0.091155775,26.8448143,0.928972423,0.025597116,"[0.010242030955851078, 0.15279437601566315, 0.2632271349430084, 0.21497808396816254, 0.17097045481204987, 0.06722640246152878, 0.04473050683736801, 0.03313854709267616, 0.02499541826546192, 0.01769711636006832]"
Chair,22,0.091582336,26.86008072,0.929215908,0.023558598,"[0.1261729598045349, 0.17957228422164917, 0.14457286894321442, 0.15498724579811096, 0.1825377643108368, 0.12235318124294281, 0.042596615850925446, 0.024648549035191536, 0.014191810972988605, 0.008366813883185387]"
Chair,23,0.086313933,27.49477005,0.934823453,0.079181515,"[0.01645674929022789, 0.03720686212182045, 0.10808569937944412, 0.15225818753242493, 0.21274061501026154, 0.24610699713230133, 0.1922064870595932, 0.025857621803879738, 0.005719850771129131, 0.0033609343226999044]"
Chair,31,0.08707542,27.29955101,0.932275295,0.083129205,"[0.0014550824416801333, 0.013571569696068764, 0.12726105749607086, 0.17489255964756012, 0.16440367698669434, 0.2524946331977844, 0.21219369769096375, 0.04382489249110222, 0.006496147718280554, 0.003406684612855315]"
Chair,38,0.088466033,27.1480484,0.932854116,0.058376014,"[0.00017105315055232495, 0.004983867052942514, 0.048649076372385025, 0.28549546003341675, 0.2025424689054489, 0.24668195843696594, 0.16436657309532166, 0.027189673855900764, 0.012525754049420357, 0.0073941610753536224]"
Chair,41,0.090690762,26.96199226,0.930586994,0.050969049,"[2.5026432922459207e-05, 0.0011637292336672544, 0.07145671546459198, 0.2712177336215973, 0.1875731199979782, 0.23012426495552063, 0.18368157744407654, 0.03305365517735481, 0.012919900938868523, 0.008784276433289051]"
Chair,47,0.088924102,27.09494781,0.931350172,0.043177728,"[0.00013776634295936674, 0.003096462693065405, 0.18359000980854034, 0.209477037191391, 0.18290787935256958, 0.2329956442117691, 0.14811848104000092, 0.023735184222459793, 0.010076621547341347, 0.005864908918738365]"
Chair,49,0.088682324,27.02106094,0.930053174,0.074189022,"[0.006388263311237097, 0.03178674727678299, 0.09257826209068298, 0.27744635939598083, 0.33786699175834656, 0.16411647200584412, 0.04209039360284805, 0.021761298179626465, 0.015002121217548847, 0.010963079519569874]"
Chair,53,0.088885419,27.1836071,0.930671036,0.055880111,"[0.0007401764742098749, 0.01007946114987135, 0.06833570450544357, 0.3515837490558624, 0.2900184988975525, 0.1645912230014801, 0.04948300123214722, 0.029389355331659317, 0.02023511566221714, 0.01554370392113924]"
Chair,54,0.089829102,27.11569214,0.930090487,0.059833232,"[0.0032961431425064802, 0.07063312828540802, 0.25324156880378723, 0.27617937326431274, 0.23271602392196655, 0.06823121011257172, 0.038576316088438034, 0.025142190977931023, 0.018477119505405426, 0.013506908901035786]"
Chair,70,0.087646253,27.08973122,0.931308866,0.124673657,"[0.003222655039280653, 0.01078671496361494, 0.13379867374897003, 0.20169146358966827, 0.24000431597232819, 0.2818487286567688, 0.09686332941055298, 0.0196531992405653, 0.006812655366957188, 0.0053182197734713554]"
Chair,79,0.091528088,26.96248055,0.928468227,0.057318427,"[0.0069539956748485565, 0.17954477667808533, 0.22281838953495026, 0.31482818722724915, 0.1484260857105255, 0.05384017527103424, 0.03080872632563114, 0.02023245021700859, 0.013026628643274307, 0.009520583786070347]"
Chair,89,0.089014888,27.28450775,0.931309819,0.060281001,"[0.014449076727032661, 0.04025459289550781, 0.11600975692272186, 0.13406211137771606, 0.19217486679553986, 0.24983453750610352, 0.203876793384552, 0.0416426807641983, 0.004516684915870428, 0.0031789406202733517]"
Chair,91,0.084696651,27.66893768,0.934659302,0.10647434,"[0.011549855582416058, 0.036175038665533066, 0.10364361107349396, 0.2236139327287674, 0.3220974802970886, 0.18233083188533783, 0.0858176052570343, 0.015873441472649574, 0.009510108269751072, 0.009388071484863758]"
Chair,93,0.086776271,27.48728943,0.933282614,0.112129956,"[0.002870977856218815, 0.01009626965969801, 0.03791605308651924, 0.33068883419036865, 0.26515406370162964, 0.2790207266807556, 0.045265741646289825, 0.014383605681359768, 0.008383253589272499, 0.00622045062482357]"
Chair,97,0.091114573,26.86670685,0.929315269,0.025028007,"[0.06330415606498718, 0.1833496391773224, 0.17406970262527466, 0.18899285793304443, 0.1858159601688385, 0.08385377377271652, 0.04696814715862274, 0.03288104385137558, 0.02380174770951271, 0.016963040456175804]"
Chair,98,0.085286252,27.53052139,0.935402811,0.145024732,"[0.0037867447827011347, 0.30641716718673706, 0.622610330581665, 0.023589875549077988, 0.01143751572817564, 0.008278675377368927, 0.006414282135665417, 0.006298359017819166, 0.005728420335799456, 0.005438613705337048]"
Drums,3,0.200654596,18.48758888,0.832069755,0.144643381,"[0.2659164071083069, 0.5503420829772949, 0.04720316082239151, 0.030559798702597618, 0.024090616032481194, 0.0212786253541708, 0.017935069277882576, 0.014240692369639874, 0.014033368788659573, 0.014400149695575237]"
Drums,5,0.208803102,18.11421585,0.825054467,0.104311317,"[0.7519606947898865, 0.07575017213821411, 0.04998737573623657, 0.026981046423316002, 0.01799299195408821, 0.016409821808338165, 0.015343154780566692, 0.01849825493991375, 0.015129821375012398, 0.011946664191782475]"
Drums,10,0.203894645,18.20161247,0.828009188,0.092257753,"[0.10466156899929047, 0.5769993662834167, 0.19853153824806213, 0.0354393906891346, 0.021654117852449417, 0.018305420875549316, 0.015193382278084755, 0.012968800030648708, 0.008957472629845142, 0.0072890338487923145]"
Drums,15,0.207550347,18.16802406,0.826315284,0.132241488,"[0.04233400151133537, 0.7839078307151794, 0.06462961435317993, 0.03220410272479057, 0.02153910882771015, 0.01749206893146038, 0.012528598308563232, 0.010074546560645103, 0.007934167049825191, 0.007356018293648958]"
Drums,22,0.201263428,18.62631416,0.833334208,0.141306192,"[0.6441362500190735, 0.15218403935432434, 0.04342913255095482, 0.03040788322687149, 0.025506850332021713, 0.028292132541537285, 0.02076113224029541, 0.018147243186831474, 0.017975853756070137, 0.0191595908254385]"
Drums,23,0.206629932,18.31274796,0.827804029,0.150720149,"[0.036670222878456116, 0.8348115682601929, 0.04373309388756752, 0.023376494646072388, 0.013238261453807354, 0.011358526535332203, 0.009552748873829842, 0.00936168897897005, 0.009053540416061878, 0.008843996562063694]"
Drums,31,0.20530425,18.40541458,0.829511881,0.172283262,"[0.6931974291801453, 0.050538063049316406, 0.03535284474492073, 0.020143356174230576, 0.028719333931803703, 0.019992809742689133, 0.022755974903702736, 0.028874725103378296, 0.04454069584608078, 0.0558847114443779]"
Drums,38,0.208644405,18.15879631,0.826863289,0.091190703,"[0.04507899284362793, 0.4028710424900055, 0.40442872047424316, 0.04938678443431854, 0.025145739316940308, 0.01940002478659153, 0.01805795356631279, 0.014966418035328388, 0.011623240076005459, 0.009040962904691696]"
Drums,41,0.198718265,18.54209518,0.832650483,0.132487103,"[0.6627911329269409, 0.08653265237808228, 0.05079298093914986, 0.045722175389528275, 0.038227349519729614, 0.029862631112337112, 0.02891317941248417, 0.020023344084620476, 0.018341898918151855, 0.0187927708029747]"
Drums,47,0.203789979,18.55186272,0.831571817,0.163009793,"[0.5666389465332031, 0.08118906617164612, 0.05562514811754227, 0.05124844238162041, 0.030734259635210037, 0.027660848572850227, 0.02646649070084095, 0.03102996200323105, 0.10001862049102783, 0.02938820794224739]"
Drums,49,0.201135859,18.66345024,0.833750606,0.169720247,"[0.6350038647651672, 0.05950579419732094, 0.03918891027569771, 0.02702154591679573, 0.02994091995060444, 0.031707391142845154, 0.035992443561553955, 0.03499292582273483, 0.042593177407979965, 0.06405311077833176]"
Drums,53,0.206913143,18.41601181,0.829381227,0.168915644,"[0.48612740635871887, 0.31595340371131897, 0.04011299088597298, 0.039777372032403946, 0.023706449195742607, 0.021295512095093727, 0.019544661045074463, 0.01822454296052456, 0.017480557784438133, 0.017777027562260628]"
Drums,54,0.203046262,18.29660416,0.828614354,0.14260827,"[0.6669555902481079, 0.051149096339941025, 0.028771642595529556, 0.03545910865068436, 0.02126213163137436, 0.023541651666164398, 0.05109577625989914, 0.0645550936460495, 0.0287849772721529, 0.028425054624676704]"
Drums,70,0.203997493,18.2680378,0.829339802,0.180297524,"[0.5912227034568787, 0.07235242426395416, 0.0345759280025959, 0.04090525582432747, 0.04466055706143379, 0.10360806435346603, 0.055188193917274475, 0.04307624697685242, 0.012622758746147156, 0.0017878597136586905]"
Drums,79,0.201435238,18.50115967,0.832479596,0.127164528,"[0.6152529716491699, 0.18078789114952087, 0.041349105536937714, 0.03121349774301052, 0.027937253937125206, 0.03364346921443939, 0.025304362177848816, 0.01583194173872471, 0.013614765368402004, 0.015064829960465431]"
Drums,89,0.204377443,18.34005737,0.829472542,0.170223773,"[0.7547037601470947, 0.05295936390757561, 0.028825117275118828, 0.0215859804302454, 0.01847206987440586, 0.018809175118803978, 0.0204775370657444, 0.021511711180210114, 0.02752811834216118, 0.035127222537994385]"
Drums,91,0.204665825,18.39432907,0.830760419,0.138226435,"[0.1765242964029312, 0.625697910785675, 0.04855795577168465, 0.03059435449540615, 0.02449886128306389, 0.020396234467625618, 0.01808607205748558, 0.01922723650932312, 0.019088072702288628, 0.017329005524516106]"
Drums,93,0.201305836,18.59132004,0.833507419,0.156457305,"[0.13761210441589355, 0.6960905194282532, 0.043473418802022934, 0.027501314878463745, 0.020790094509720802, 0.017472602427005768, 0.015280468389391899, 0.014201972633600235, 0.01370377279818058, 0.013873751275241375]"
Drums,97,0.204342946,18.3041935,0.828647137,0.101212844,"[0.29001203179359436, 0.5044134855270386, 0.0943911224603653, 0.025979094207286835, 0.021861355751752853, 0.017683610320091248, 0.01368155237287283, 0.011354869231581688, 0.011273466050624847, 0.00934955570846796]"
Drums,98,0.200529173,18.20225716,0.830785513,0.138169885,"[0.3137824535369873, 0.5105733275413513, 0.04407874867320061, 0.02931549958884716, 0.02063824236392975, 0.019329078495502472, 0.017094846814870834, 0.015125701203942299, 0.01471454557031393, 0.015347501263022423]"
Ficus,3,0.075223237,24.83642578,0.928028464,0.190267056,"[0.5306280851364136, 0.07535307854413986, 0.06005195900797844, 0.06417182087898254, 0.07221370935440063, 0.07933530956506729, 0.07177505642175674, 0.036416515707969666, 0.008824590593576431, 0.001229938119649887]"
Ficus,5,0.079832911,24.36918068,0.923050284,0.212901503,"[0.5468212366104126, 0.07646666467189789, 0.057444386184215546, 0.05075620114803314, 0.05014072731137276, 0.05796957015991211, 0.06365656852722168, 0.07128029316663742, 0.02228841371834278, 0.003175852820277214]"
Ficus,10,0.079562761,24.49627113,0.923803627,0.145867378,"[0.6542477011680603, 0.0707496702671051, 0.03860403969883919, 0.03330257162451744, 0.029582776129245758, 0.02962670288980007, 0.03095937706530094, 0.03454740345478058, 0.0369345061480999, 0.04144516587257385]"
Ficus,15,0.072850414,25.17399406,0.931187391,0.193136632,"[0.548538327217102, 0.06682349741458893, 0.059338342398405075, 0.06441342830657959, 0.07272937893867493, 0.0796223059296608, 0.06072845309972763, 0.029504669830203056, 0.010141965933144093, 0.008159640245139599]"
Ficus,22,0.076352388,25.21341705,0.928939641,0.180508062,"[0.5913727879524231, 0.06475833803415298, 0.0424313098192215, 0.040506720542907715, 0.04307280853390694, 0.04982244595885277, 0.056228723376989365, 0.05555103346705437, 0.03882608935236931, 0.01742972433567047]"
Ficus,23,0.077077329,24.73509216,0.926208675,0.145561367,"[0.31229695677757263, 0.4663151800632477, 0.05231134593486786, 0.03486977890133858, 0.028811858966946602, 0.023046813905239105, 0.02176865004003048, 0.01957181841135025, 0.020849978551268578, 0.020157640799880028]"
Ficus,31,0.077076413,24.88383675,0.927203953,0.203310907,"[0.5576000809669495, 0.06490843743085861, 0.05396035313606262, 0.0554913654923439, 0.06420551985502243, 0.07742597907781601, 0.07128278911113739, 0.03829413279891014, 0.013875252567231655, 0.0029560721013695]"
Ficus,38,0.078668058,24.44768906,0.923963666,0.159130529,"[0.6137056350708008, 0.09701374918222427, 0.042220622301101685, 0.03465905413031578, 0.030607424676418304, 0.03160056844353676, 0.03362074866890907, 0.03606979176402092, 0.04021172225475311, 0.040290724486112595]"
Ficus,41,0.078342743,24.50746536,0.925081372,0.212800875,"[0.5567858815193176, 0.06581774353981018, 0.04872991517186165, 0.049358610063791275, 0.05575839430093765, 0.07017180323600769, 0.07550178468227386, 0.05594605207443237, 0.01974344439804554, 0.0021864178124815226]"
Ficus,47,0.079906687,24.42654037,0.923353255,0.11731986,"[0.6853890419006348, 0.05799240991473198, 0.03924945369362831, 0.043104689568281174, 0.041751254349946976, 0.03119039349257946, 0.024607814848423004, 0.024054139852523804, 0.02304931916296482, 0.02961140312254429]"
Ficus,49,0.076457061,24.88986588,0.92752564,0.205356896,"[0.55525803565979, 0.06595131754875183, 0.05161970108747482, 0.055996742099523544, 0.06678243726491928, 0.0811232477426529, 0.07320021837949753, 0.033335793763399124, 0.014756406657397747, 0.0019761384464800358]"
Ficus,53,0.075297847,24.93149757,0.927979887,0.1481608,"[0.5112398266792297, 0.11533264815807343, 0.06863482296466827, 0.04923370108008385, 0.045601509511470795, 0.05004207789897919, 0.0532977469265461, 0.055822551250457764, 0.03879119083285332, 0.01200389675796032]"
Ficus,54,0.079093553,24.57584381,0.924625397,0.154309511,"[0.629065215587616, 0.08194577693939209, 0.04493417218327522, 0.03806794434785843, 0.034766875207424164, 0.033327605575323105, 0.03172989934682846, 0.03475366160273552, 0.03711722791194916, 0.03429153189063072]"
Ficus,70,0.075357817,24.77606392,0.927594304,0.203437969,"[0.5347169637680054, 0.06582837551832199, 0.054124657064676285, 0.05657215788960457, 0.06372581422328949, 0.08254210650920868, 0.07874768227338791, 0.04442492872476578, 0.017485784366726875, 0.0018315324559807777]"
Ficus,79,0.077037275,24.91895866,0.927082896,0.210734859,"[0.5501673817634583, 0.061455775052309036, 0.04902419075369835, 0.05528949573636055, 0.06529960036277771, 0.07998162508010864, 0.07919846475124359, 0.04363207146525383, 0.014159943908452988, 0.0017913725459948182]"
Ficus,89,0.078030244,24.62273788,0.925433695,0.171181977,"[0.6032397747039795, 0.06929176300764084, 0.04031437262892723, 0.03633326664566994, 0.0383695624768734, 0.043929390609264374, 0.04823080822825432, 0.05444272235035896, 0.04446704685688019, 0.02138126827776432]"
Ficus,91,0.077904277,24.62082481,0.925682604,0.172575161,"[0.6418774724006653, 0.06835785508155823, 0.04276207834482193, 0.03593919798731804, 0.031486447900533676, 0.03121870942413807, 0.03407478332519531, 0.037139151245355606, 0.03821016848087311, 0.0389341302216053]"
Ficus,93,0.077560648,24.64492416,0.925745964,0.207903817,"[0.5697648525238037, 0.06310994923114777, 0.048787061125040054, 0.05268147587776184, 0.06118598207831383, 0.0734640508890152, 0.07096386700868607, 0.04276418313384056, 0.015828615054488182, 0.0014499484095722437]"
Ficus,97,0.076946482,24.84179688,0.926980436,0.193825737,"[0.5762713551521301, 0.06520506739616394, 0.04719691723585129, 0.04895597696304321, 0.05450153350830078, 0.060931626707315445, 0.0658908262848854, 0.0587153434753418, 0.019638052210211754, 0.002693275222554803]"
Ficus,98,0.076966703,24.70085335,0.926350772,0.17618458,"[0.6363866925239563, 0.08103816956281662, 0.03768550232052803, 0.031136294826865196, 0.03173169121146202, 0.032084494829177856, 0.03523781895637512, 0.03849038481712341, 0.03941650316119194, 0.036792442202568054]"
